,index,0_dist,0_angle,1_dist,1_angle,2_dist,2_angle,3_dist,3_angle,4_dist,4_angle,5_dist,5_angle,6_dist,6_angle,7_dist,7_angle,8_dist,8_angle,9_dist,9_angle,10_dist,10_angle,11_dist,11_angle,12_dist,12_angle,13_dist,13_angle,14_dist,14_angle,15_dist,15_angle,16_dist,16_angle,17_dist,17_angle,18_dist,18_angle,19_dist,19_angle,20_dist,20_angle,Label
262,Explore_262,117.06920836191411,-0.9207056615750138,94.11244300004991,-1.2141575969162437,70.2150406069643,-1.5443438823837496,60.769741247163196,1.1801040388727122,66.76226139433314,0.7435246228735253,20.977528199061084,-0.4534956735101214,18.844211535376644,-1.5101114368771602,36.17957229220884,-0.8767321320599641,53.014459158031556,-0.6201450691512072,28.170560854661943,-0.14930786801311738,33.51843165738776,1.364763478257075,44.615388374624665,-1.1023754843554137,55.30228208336541,-0.7043300437739335,39.082446721301295,-0.10742795360465633,39.16338819684384,1.1539300210721897,44.78158128824546,-1.2729228348894974,53.719372437293885,-0.8073382159894102,47.95245188437557,-0.21414506462851066,28.04858919819442,0.784197683782063,29.10587444894314,-1.4279737750000931,37.58811265748691,-0.8733005555597665,Explore
263,Explore_263,116.92667819006215,-0.9202903639346612,93.96195013175469,-1.2141016960116815,70.05229662929366,-1.559240077150123,61.04518604467533,1.1633438577936899,66.77781550777871,0.7203058152805606,19.5835323480986,-0.5387514451037275,18.085523708216304,-1.4493805791725198,36.96640013889676,-0.8574194965798725,53.72496516598377,-0.6369420821298857,27.280561301837427,-0.18609853960382608,32.47622538749695,1.390942827002419,43.42306251609443,-1.113033887710118,54.67384223688063,-0.7176009957340582,38.14496754164084,-0.1327165215708738,38.36156901541259,1.1460180199720127,44.144680704102065,-1.3378526660434624,52.58499221161579,-0.8629558319340447,46.898476736258765,-0.21591564886646036,27.415506147511902,0.7632887445448653,29.03512611911364,-1.495282296496936,38.084998623886115,-0.9488026565342723,Explore
264,Explore_264,116.29755019520358,-0.9336009242861955,93.81301661372905,-1.2318697445353395,69.48090652749204,1.559145037741666,59.85956732597985,1.1434446254859867,67.6343544043381,0.6981638464989192,20.13114598200394,-0.5473159426589325,16.622594791318583,-1.46172088222017,35.74681058668284,-0.8787870221624309,52.970128064034164,-0.6611220145494907,28.71744434968622,-0.1918671608878619,32.33347359531959,1.3465363848653402,43.3510168000287,-1.1474415492563754,54.76683207646403,-0.7300360744935632,38.58109814127702,-0.14242070615343772,38.131678999365576,1.132283088493547,43.87619150981424,-1.3218692767106437,53.421737955328624,-0.8611065338461186,47.363600555662714,-0.22303096837155828,28.08619709252539,0.7686131691442643,29.657187203685833,-1.4759207355380037,38.10482022347091,-0.9290447788258442,Explore
265,Explore_265,115.16972588157526,-0.9751103882041058,93.50538078542681,-1.2709494852866845,70.41454833186141,1.5227628890141303,59.50125286891465,1.1114436090666546,65.94275329418801,0.6774476007768363,20.115595646378857,-0.5985077981724719,16.72377969408338,-1.4881280199125768,36.368733924295974,-0.9079157691069702,52.72090980878233,-0.6682521067900054,27.362105314763966,-0.23358194256007675,31.598960917501046,1.3272796509305054,42.91596492392399,-1.1791632710243807,54.494377583459176,-0.763152142891316,37.16269311604295,-0.17125772296652794,37.99835895728538,1.088653069287909,43.48200555696845,-1.376837179535003,51.9836883538989,-0.8983443648369172,46.03589745921416,-0.2487418164618665,28.562697078516436,0.712242892887216,30.669032739246884,-1.5583746054729406,38.50317299997183,-1.0129835870625812,Explore
266,Explore_266,115.48344601653902,-0.9843948197748851,94.11794838720606,-1.2808902943402,70.25868947476903,1.52672718435993,60.14623147793827,1.1220201426257046,66.41211607077229,0.6690299180880266,20.273079007055266,-0.5847452860775617,16.845166582382262,-1.5057324868185022,36.306861729110906,-0.9165401237895352,53.21562265285508,-0.6884368014020934,27.60775631261587,-0.22615243573280214,30.8397952412389,1.3115864147522827,42.94013129094326,-1.1865832121288862,55.08735589992815,-0.7817306981777824,37.42036139205526,-0.1661947021377206,36.90847907546989,1.0950315959144354,43.76503952708434,-1.3614508449725948,52.54247822610375,-0.8894029703214295,46.27812009030804,-0.24422997347389108,29.53363891674034,0.7352120291233043,29.809675946667898,-1.5676014494863222,38.47445187019584,-1.021249506228753,Explore
267,Explore_267,115.64200172237713,-0.9808521998759929,93.86477705658329,-1.2864340242996355,71.24823266296767,1.5052507030085727,60.31091025421198,1.1127983751976747,66.19218908369486,0.6506952292835764,20.58030011526719,-0.5693911455750915,16.917902337498393,-1.5313801325811194,36.123810779255,-0.9275588615494184,52.311577435466894,-0.680285383561112,28.239219442810878,-0.25397637531449174,31.04414967469624,1.2990283911659988,43.245436758732296,-1.1751581803622457,54.14685666008509,-0.7754482430046428,37.8276315041719,-0.16183743123842317,37.19096396241315,1.0859605946841095,43.771334286441615,-1.3714805644832135,52.347976633260366,-0.8969077781708392,46.67135544958098,-0.2400294335548333,29.177228408407313,0.7507699787212679,30.91195161801446,-1.5492280231924662,38.85658846476594,-1.009988649232,Explore
268,Explore_268,115.77415656699118,-0.9850752616111446,92.90311438338071,-1.2983404370773413,70.65333271712157,1.4999690540495287,60.36309259676649,1.088449415585067,67.48571697377788,0.6432188621171779,20.511044533270486,-0.5937977737006799,17.552318941574562,-1.5137929317898087,36.819224989102985,-0.930399191478428,52.96079498070872,-0.6854131953604368,27.765825092798885,-0.23541156734029295,31.554761096319595,1.3144711520864478,43.56809771291369,-1.1947551118075987,54.81864555264711,-0.7792557345062271,37.74776051683439,-0.19937477547429422,37.17254613207229,1.0653153399666289,43.2697859529861,-1.384839939881313,51.81917364614775,-0.9295006913601019,46.69748739277292,-0.27045558400239594,28.759894284826157,0.6998262119403794,30.540185786039427,1.5380467297428322,37.66693757051458,-1.0420848778176948,Explore
269,Explore_269,116.94160024764807,-0.9730809046791361,94.5473162566652,-1.2832953223831223,70.73865220726057,1.5256787175456732,61.05543743115184,1.1092414946481424,66.95524277565868,0.6527469335171092,21.623504889791114,-0.515868333032491,17.3343798742148,-1.5598077581121623,35.38098442605741,-0.9286411122091349,52.36506252495677,-0.6655095612278206,28.59744846934627,-0.235285913369146,32.29189433757793,1.326532971128294,43.84393058831642,-1.167901115152884,54.85482799348671,-0.748559799611666,38.39276670347412,-0.1745285002019287,38.67760225375629,1.092281971764657,44.51543083882757,-1.339828163579766,53.64171051127998,-0.8796952248298544,46.30339658326796,-0.25470646801581276,29.81777612838741,0.7503842305714021,30.33393136885244,-1.564516974477511,38.65851427077332,-0.9906514364793113,Explore
270,Explore_270,117.12586984844594,-0.9736600124307647,95.32971783258783,-1.2632628239277435,70.92680907032235,1.5264705409879187,59.86685908185373,1.1188877729796078,67.03334534211392,0.6554357509875111,20.898686610426395,-0.5462810978508802,18.14341956383602,-1.5629224737707947,36.0045348617677,-0.9431669009934016,52.0566802551188,-0.6901704934888887,27.4884020069912,-0.21472308134726834,32.11872109686123,1.3236601697124644,43.6500461696462,-1.1671937533752745,53.96068107465674,-0.7591869392004468,37.31963426992304,-0.15759690152925473,38.077525644186395,1.1121822323304813,43.346256576360474,-1.334610402693015,51.28949448861785,-0.8682122772079266,45.181041716767034,-0.24267805368883189,28.995777313960996,0.7679783228456709,30.16451490051967,-1.5328997869560574,38.473155231529795,-0.9889728413078904,Explore
271,Explore_271,117.64279690826417,-0.9643812522684763,93.95094488801841,-1.2676393331280607,70.72831350361578,1.5290416337890476,60.054491506575744,1.1053756700066784,67.3800100893224,0.6666837214396453,20.109676600346436,-0.5591013233335203,17.359477927717265,-1.5159064642007423,36.63811504325657,-0.92833498887723,52.8034905738252,-0.6831914452901948,27.634847697359127,-0.20652001091286673,32.116144102587114,1.3495542119458948,44.148224875267516,-1.1520244121209076,54.68062290740616,-0.7515232646114418,37.64266889504448,-0.1780431374344258,37.43971723055417,1.0980477176535097,43.487480931095874,-1.339893759164152,52.082983672295676,-0.8857744388004141,46.53384889486921,-0.2534172813811084,29.323630120548035,0.7198993545455153,30.333370710898713,1.5692264693717952,37.99397254977926,-1.0179097166766078,Explore
