,index,0_dist,0_angle,1_dist,1_angle,2_dist,2_angle,3_dist,3_angle,4_dist,4_angle,5_dist,5_angle,6_dist,6_angle,7_dist,7_angle,8_dist,8_angle,9_dist,9_angle,10_dist,10_angle,11_dist,11_angle,12_dist,12_angle,13_dist,13_angle,14_dist,14_angle,15_dist,15_angle,16_dist,16_angle,17_dist,17_angle,18_dist,18_angle,19_dist,19_angle,20_dist,20_angle,Label
405,Four_405,134.868651984002,-1.5577320983358887,114.4347639170185,1.230095685203111,95.5825793670481,0.8195758961886177,92.86539645858639,0.40812366299390695,102.18205486092411,0.13603143941251455,23.523664931115274,0.6835930663573584,31.41702529613603,-0.738222890440432,31.51539234482933,-0.6933840499013213,27.73653173602938,-0.57752679630209,13.182995988012513,-1.1184567979683648,35.25122020692474,1.4923667495176167,65.14329225697071,-1.567141372309887,90.170636928949,-1.545973111829908,34.39242652485533,-0.5803222630147014,39.729813111649825,0.6852235234304939,60.90922951706756,1.0602807197485236,81.98624131018776,1.225350042997238,62.404448501238775,-0.5926586545574768,63.03461598035942,-0.09305369974065483,69.222078451349,0.20576017857785758,79.04568270720753,0.4326602264424419,Four
406,Four_406,134.85727737415942,1.5693838983556094,114.75651044425497,1.2222734885549218,96.96346648196703,0.8194364362761728,93.22328302986445,0.41817246504942723,104.2545398066424,0.14299517443923582,26.30244464121744,0.6956654896537491,30.070702777502248,-0.6900748874555708,37.03099761794841,-0.8226875126228863,42.24204093880573,-0.9020412285716918,14.668058066344054,-1.2367260671689844,32.66364695191809,1.3919859874011902,60.33485546995619,1.4909978103843453,84.16231213898833,1.5492942648086656,34.76190476190474,-0.643501108793284,39.93398747945252,0.6492248717095103,61.07964764149407,1.023023034765818,83.28442101966311,1.2175800396099947,62.76987087243688,-0.6275692247299878,62.08641845048777,-0.09447904785555745,69.47976426070655,0.21970968293500212,79.0506740660368,0.46068425560606446,Four
407,Four_407,132.66811095511648,1.5661301725773027,113.786847711052,1.2151604424941371,95.6614518951328,0.7857501521192725,92.37098620763187,0.38471849081953835,103.28010478960344,0.11320304052114726,26.957975189243243,0.5752644390575044,32.607610090708306,-0.5604568983462773,43.81638145085362,-0.7646478753738656,55.32474730533425,-0.8713192718754865,14.351673126919762,-1.2605877572165238,29.84593850679642,1.2510639331295188,49.43556698821923,1.359232057116114,65.01369121463165,1.4259989281376977,35.10825500022751,-0.6293946110349,41.30858376863727,0.6298980742567415,64.29744161109699,1.0066231957238911,86.99271478867557,1.1769736686223273,61.72804446864413,-0.6160346423201193,61.558095267564326,-0.07588194786782024,69.33231945883502,0.23781570051111522,80.09588924484767,0.47082642744789366,Four
408,Four_408,129.5542768788293,-1.5491085513153566,116.2981643816821,1.2543545403422367,91.74123126892962,0.7648430558795105,85.11239734260748,0.3417443505880525,93.20293368812253,0.016350101417376545,26.930708095940467,0.36146106113034804,43.60784322721896,-0.7738156697887919,63.7907754973143,-1.0235916278758375,85.51204978011212,-1.133799108125245,9.929570578936735,-1.2839329772722194,29.527649519861896,1.3031298514302054,2.8579363977378254,-0.18432440889969803,31.14522344293997,1.3707021228214924,33.21181933153703,-0.5207466819709669,46.38068348411345,0.6886912879859833,69.09707588379996,1.0089827628960866,93.46517655803653,1.1543308283646239,60.99630114059758,-0.5240845847989557,62.826868611296646,0.02349832753514003,70.17648629722737,0.31102135238183304,82.24079737474865,0.5570035393704256,Four
409,Four_409,128.86584456593457,-1.5412300836765274,114.98975602604652,1.2414503186740562,91.24809816922834,0.7591952287832044,86.15034582732562,0.3409789534963492,94.20785626159794,0.019208961620361828,24.807375832433593,0.36303934800508786,44.132659221684406,-0.8174482535495002,65.775058165265,-1.0241688109203821,87.4886451978127,-1.1317359217506422,10.52327083301304,-1.200373641509322,27.63238594176166,1.2463209835013234,3.3418259160995527,-0.5721936440079929,30.44552028156883,1.3660389367529653,32.86228393181792,-0.5018909511852243,45.763118758982685,0.6362171585306533,67.46975470871014,0.9579310190374949,90.89253827866857,1.1296431652860963,59.77319187662793,-0.5221105324404157,61.84832592318997,0.035424311916799275,68.50322335465188,0.3298840307879366,81.77743425196505,0.5708826481527245,Four
410,Four_410,129.41579004131657,-1.5350972141155728,114.278977976075,1.246805691812554,91.02626019644812,0.7694912550810123,86.1721369597425,0.3350318426410452,94.40979089469509,0.024717467553597116,25.17498848761355,0.37980388337474463,43.19743210642933,-0.8228221797744852,65.7677663675035,-1.0384481773851013,88.49115666130848,-1.1471081678591137,10.948757164478142,-1.2339162528954544,27.075187157934636,1.2468210819638834,2.64017452869123,-0.12659212727996624,27.34817914403682,1.2975193473900066,32.95189925329177,-0.5186083835222272,45.29973244553644,0.6294145721392603,66.35990648131308,0.9680654889305641,89.00732472597569,1.1344277319400409,59.871839692869074,-0.5312804831278869,61.676722842491934,0.04324967465509611,69.10357338716487,0.31891770078480486,81.33481096014732,0.5667292175235068,Four
411,Four_411,128.12119581211584,-1.5272969982169844,113.66258695573222,1.2538152115912833,90.11126908620548,0.7741878706908543,85.49710581090345,0.3460586619126824,94.43386628768738,0.010589619270739951,24.166936428238714,0.3816040715123159,44.21584349898271,-0.8425441136107237,66.94377781209471,-1.0479445651375472,89.72759227978054,-1.1527336525650513,10.995360802796483,-1.1420182993488817,25.165979627509927,1.2652023556672372,5.241124665098321,-1.266285443592787,33.620329127066036,1.3784007252789738,33.158247658088044,-0.46942789144446806,44.657883185527766,0.6492592025443078,64.39308493739915,0.9667950883709857,87.96288642237191,1.1420182993488803,58.68229924685942,-0.4974038447775796,61.70122216234075,0.06487403325428096,68.54538195790508,0.342182779817185,81.18434553030326,0.5875145606385366,Four
412,Four_412,127.51554082513803,-1.524847383134691,113.63171006756797,1.2656115199738371,90.88021320357608,0.7872506992552414,85.70810824300179,0.36234719293208256,93.15309370178296,0.01482508967133291,24.61365880048082,0.3474486903050152,45.153429543573814,-0.8398625428484094,67.8375076019286,-1.04337874250528,91.49719646771285,-1.1527833690155207,10.14296892404313,-1.1807000082826336,24.594304596676498,1.2882413743253098,7.611007662702993,-1.3243002141499047,36.895912917593975,1.4035258617729307,32.24199877893383,-0.46232660580620116,45.26087145936065,0.6563371041187799,65.0649771164605,0.9685843670148595,88.64468296854639,1.1419903815945918,58.64196294970099,-0.48580163009060895,61.03218362177221,0.07575459762274013,69.02396967737128,0.3492425348468496,81.76606473595035,0.5918791791859409,Four
413,Four_413,128.1891052781715,-1.5325250601019866,113.64970847225108,1.2568632890399616,90.655386453153,0.7697976460576497,86.15666266483368,0.3444739152382831,93.11881323709405,0.022502594903602534,24.8216312655878,0.375162644578577,45.33493394533254,-0.8448518227061059,67.56527036604818,-1.0589059642274916,91.33934137843733,-1.1645354285503702,10.824093390784562,-1.2017273594274216,24.623238107025745,1.3286319151501935,7.346463199523284,-1.3085237904626577,36.453088544032745,1.430561934615758,32.60907042408451,-0.48128131338631275,44.688008912789705,0.6744081081536331,64.76785686933539,0.9832015535672955,88.92436083612512,1.1428392829534775,58.55131284461233,-0.4811067296870787,62.02778983663809,0.0629934675325478,69.77152542145824,0.3344845951696982,82.24538804623204,0.5775645692864355,Four
414,Four_414,128.18549661311184,-1.5332674870369538,114.6304522784812,1.2587669585450354,92.12593667701175,0.7846671693756041,86.00829206451478,0.36991660231112333,93.2140272452781,0.02247960562314232,24.910269808858224,0.3737617154535517,44.739432048757095,-0.8599765693834662,67.12672889711152,-1.0706569879450782,90.60351942626903,-1.183848500612883,9.519284639370282,-1.271194048837763,22.938792658219413,1.269397525437439,6.358168278275983,-1.2822089649008204,33.66922600900339,1.3858827816372106,31.177641852358263,-0.4691120354852934,45.39821287700986,0.661963131792628,66.10199636094583,0.980196326491029,89.30364264445859,1.1336215395516422,57.58263312135184,-0.48990868102343127,60.93476307883638,0.06412496023671652,68.73792617129982,0.33971531742237493,81.33000160456001,0.5849171959950709,Four
