,index,0_dist,0_angle,1_dist,1_angle,2_dist,2_angle,3_dist,3_angle,4_dist,4_angle,5_dist,5_angle,6_dist,6_angle,7_dist,7_angle,8_dist,8_angle,9_dist,9_angle,10_dist,10_angle,11_dist,11_angle,12_dist,12_angle,13_dist,13_angle,14_dist,14_angle,15_dist,15_angle,16_dist,16_angle,17_dist,17_angle,18_dist,18_angle,19_dist,19_angle,20_dist,20_angle,Label
315,How are_315,119.8737241874419,-0.791577860012388,92.47442497456481,-0.4507510416819359,70.77661194339512,0.12343702768452046,68.76180583029422,0.707950241283462,90.12026482162197,0.9388144717292438,46.58985417954918,0.12296047212416286,49.58249727757951,1.3833834829788,73.50636667012651,-1.423860377595454,98.15534450720857,-1.3052250706627828,37.01344978318838,-0.45559254731691473,31.42027307473159,-0.48737197050911335,70.77392066153315,-0.4489029659046986,98.04637016711963,-0.4621271931437003,46.89395572885941,-1.0767174062943397,42.00334723731338,0.6761573718712045,62.21158396262164,0.28155903133437976,78.57659434677937,0.14412536767981515,66.4228534832147,-1.3854924160822137,55.19743988279268,1.1457395877667422,52.268038472904145,1.0108450084122476,49.28628939162964,0.9224643377076359,How are
316,How are_316,120.75112615259609,-0.7937638354978492,92.31790926944826,-0.46134080801759386,69.24164856278054,0.12896129140558513,68.45350309639238,0.7154925340995801,88.32475892154338,0.9319318032790183,49.0235724687254,0.12074055245544021,50.51851325411208,1.3173587890648726,73.37948455007347,-1.4569858983561734,97.73105072925388,-1.329717431182778,38.6526188415566,-0.4581380228770237,31.132989553667247,-0.4992246513682369,70.47138014471645,-0.45397731510389344,99.09195436311234,-0.47030987879340785,47.80990324266051,-1.0768549578753153,42.52703555192234,0.6311837026418533,63.67122539507668,0.27182758993213957,79.97306802903915,0.12657064823278563,67.29803075358636,-1.381449441321764,55.24599697177972,1.094427738640513,53.52103449847402,0.9682340413826184,50.27662706491896,0.9231277861701526,How are
317,How are_317,120.75058156317841,-0.7932061475007964,92.7882283956224,-0.47030346664623607,70.16638793229173,0.11358009376166035,69.27851378064724,0.7060914233109921,91.1904761904762,0.9272952180016122,49.076598004092844,0.12158691881489196,49.60931263610451,1.3116160573807458,73.42140660492555,-1.457703929228482,98.00893105678394,-1.3203970238548541,37.77928501728472,-0.46815716129529733,31.11404667070417,-0.5013010370129919,70.44949623151592,-0.45488120721278,98.1810188970115,-0.47557762867039505,46.87306156233831,-1.1130550552916294,41.657196202635284,0.6451014732249131,63.61257808565022,0.2713074850398881,79.91982944377443,0.12605479336788117,66.9110147899937,-1.409976626667329,55.181847388241145,1.0947989018445412,53.45481487724084,0.968463100681987,50.81936353153752,0.9076164090593787,How are
318,How are_318,119.94424252623692,-0.7949430728491707,92.85012183468879,-0.46479439748890833,69.50712454714115,0.12087098417037,68.26734826402935,0.7271636868663169,90.30505117419347,0.9298263241762581,49.19545450307551,0.08917009774995373,48.876933706259436,1.3227458396816913,72.71865144221047,-1.474385628502956,96.68900750517406,-1.351860286910212,38.76427394187026,-0.5010133868035888,31.073681728194448,-0.5178155695080359,69.94659446390158,-0.48130716155417025,97.70973720036389,-0.4946015219792148,48.85305840162662,-1.1036613736052838,42.57153510160314,0.6457382415264945,64.18872754436072,0.2618926519507744,81.56914905218459,0.11820011209508989,68.85735691200343,-1.3808602786567261,55.561226467936365,1.1040824184734794,53.29524575376912,0.9267591208406756,50.70692993826554,0.8358871334163339,How are
319,How are_319,119.06453213191315,-0.7899230193939042,92.65851772519068,-0.46525643317009974,69.3238154115882,0.12188418079659184,68.25045579740319,0.7088533040595956,90.8294107622109,0.9229961986644761,49.110477520256026,0.11076429901908051,48.438777779210795,1.2816935769329056,71.6963235584042,-1.4843456751075224,95.80153568895864,-1.347760361021987,38.10300516058506,-0.479297533003904,30.78158002660425,-0.48786432721696044,70.574721984716,-0.4615353610860153,98.31548321786765,-0.48032717121935004,47.83285334799116,-1.0973538395936686,41.89875498071799,0.656457874032374,63.3946892201168,0.2644732777217305,79.76680866232732,0.12028245134571112,67.79261760890762,-1.380701918376752,55.604735601522215,1.1006378944372652,53.98086920718128,0.9085926168791632,51.4511414319306,0.7906337176538555,How are
320,How are_320,117.2846315902311,-0.7954466336783159,90.76326636664169,-0.4657592905170894,68.59174632854229,0.12039393716106248,68.24374415856772,0.7246721282457884,88.48200811259422,0.9551764373657867,51.19774034837911,0.06328908130096662,48.016059293879785,1.2289731863307292,70.34655064897368,-1.51526027273574,94.94168158661574,-1.3810732506605214,41.150930645254206,-0.5009167240842848,28.68746279373535,-0.5193520026520966,68.9107016888976,-0.4868273824077428,97.55813430545398,-0.49377607420060005,48.600108246195816,-1.0755940918635445,42.58178738357568,0.649763608000623,64.13393015972454,0.2644286596634937,81.49156571969097,0.1200787286653345,65.88170529798482,-1.3861587931613504,55.69191655133622,1.0666045495371455,54.42792567212644,0.8746017953265023,53.58454865794134,0.7307013589803574,How are
321,How are_321,114.41758265211973,-0.7895182107147597,87.82424212977267,-0.46316264298644977,67.02240123700209,0.11607105607995205,64.81807787920474,0.7000999029303283,85.58066304149155,0.953004791877664,50.795128946746004,0.09388513488691223,49.286358403888535,1.2493513024834617,71.8437615739704,-1.523055589293676,95.36797096835664,-1.3870126967304746,41.85009962953814,-0.39846725193648397,29.40282430477564,-0.5259760602728747,69.15408868504745,-0.47719774976902907,97.79596048212478,-0.48694985959575393,49.057326824774556,-0.9984090398116471,40.30777286439901,0.6765859585802035,64.07883820473755,0.2886096244362335,81.35432426796687,0.15100276319735925,66.34112694789376,-1.3183317310829596,55.86252156135402,1.1182043100438859,56.53824985038999,0.8706661045777369,57.9704553729322,0.6975779824887285,How are
322,How are_322,115.32634362052677,-0.7886098311869385,86.93798451728355,-0.44992970423706513,65.08839271493152,0.15721042703621038,64.0418301508498,0.7401658785779516,85.76587072081101,0.9586148255668557,51.657976008171,0.12012451441063818,48.65401475651767,1.251212280924374,71.28730475052417,-1.5186696777492503,95.66197338507835,-1.3951725435414548,41.81334725981996,-0.41371464692248144,28.498518082170857,-0.5212186501391614,68.25738271267498,-0.47456761174035134,98.24931265735006,-0.48944414026884336,49.38598036578135,-1.009539617870159,40.88920930565573,0.6831074257978698,64.2326412312812,0.28094731065950257,82.56324450022316,0.14352837452738007,66.82438825917637,-1.3246078474591139,56.071160650456854,1.13411786125055,56.68311085931454,0.9116688644129629,56.97596660851886,0.7493404690295971,How are
323,How are_323,114.45112038296567,-0.7892227990587136,86.52669230200368,-0.457740712405204,63.37538882955317,0.15464875446553647,63.91185823916221,0.7759147806843405,88.8980791734311,0.9786338898653919,50.07767209675771,0.1354420608807851,48.99379848765997,1.267795496224121,70.84262844174506,-1.5230533616399389,95.18209067617462,-1.3978340232365836,41.516627819315104,-0.3758205754118987,27.996800918640766,-0.5138719015485116,67.76543510530526,-0.47118989212776896,98.6386474280741,-0.48243183858148897,49.377668991269104,-0.9525647752927519,40.142744167496225,0.7123575980943291,64.32515544934786,0.3037239425465421,84.42529470181036,0.15745224184756493,66.88199917809692,-1.2886825053567328,56.83067502311376,1.1660145636142214,57.61953954925777,0.9314274258870648,58.44013546447832,0.7594673775398035,How are
324,How are_324,112.81283036019242,-0.8230148192682246,84.21074147394641,-0.5046269325589788,62.14285714285715,0.11751164543144525,64.36962777266804,0.7587168984590263,88.8338279012665,0.9903760935456467,50.24531656517546,0.14551585665996622,49.522206933777056,1.2691160697801256,72.32184303232209,-1.5391863058198405,97.33971649929572,-1.4235028945198223,43.29160733105348,-0.3467975074146389,25.635195831241894,-0.591093783809905,65.68446528359529,-0.47921055473781776,96.98684951884887,-0.4741874031577369,50.20549608095408,-0.9124983469553792,38.9727796162964,0.7205541358442419,65.33118141673333,0.3065373436538458,87.21741541126065,0.14629823072669132,65.09788547931149,-1.246963887827987,56.48279492419776,1.203440905907673,59.15131064499254,0.9103886164479575,62.39865252338943,0.7108611827349509,How are
